Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
1,Spoofing the COM Port External Entity,Spoofing,SERIAL,COM1 to MCU via SERIAL (RS232/UART),High,Not Started,,COM Port may be spoofed by an attacker and this may lead to unauthorized access to MCU. Consider using a standard authentication mechanism to identify the external entity.,,Generated
2,Potential Lack of Input Validation for MCU,Tampering,SERIAL,COM1 to MCU via SERIAL (RS232/UART),High,Not Started,,Data flowing across COM1 to MCU via SERIAL (RS232/UART) may be tampered with by an attacker. This may lead to a denial of service attack against MCU or an elevation of privilege attack against MCU or an information disclosure by MCU. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
3,Potential Data Repudiation by MCU,Repudiation,SERIAL,COM1 to MCU via SERIAL (RS232/UART),High,Not Started,,"MCU claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
4,Data Flow Sniffing,Information Disclosure,SERIAL,COM1 to MCU via SERIAL (RS232/UART),High,Not Started,,"Data flowing across COM1 to MCU via SERIAL (RS232/UART) may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
5,Potential Process Crash or Stop for MCU,Denial Of Service,SERIAL,COM1 to MCU via SERIAL (RS232/UART),High,Not Started,,"MCU crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
6,Data Flow COM1 to MCU via SERIAL (RS232/UART) Is Potentially Interrupted,Denial Of Service,SERIAL,COM1 to MCU via SERIAL (RS232/UART),High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
7,Elevation Using Impersonation,Elevation Of Privilege,SERIAL,COM1 to MCU via SERIAL (RS232/UART),High,Not Started,,MCU may be able to impersonate the context of COM Port in order to gain additional privilege.,,Generated
8,MCU May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,SERIAL,COM1 to MCU via SERIAL (RS232/UART),High,Not Started,,COM Port may be able to remotely execute code for MCU.,,Generated
9,Elevation by Changing the Execution Flow in MCU,Elevation Of Privilege,SERIAL,COM1 to MCU via SERIAL (RS232/UART),High,Not Started,,An attacker may pass data into MCU in order to change the flow of program execution within MCU to the attacker's choosing.,,Generated
10,Spoofing of the COM Port External Destination Entity,Spoofing,SERIAL,MCU to COM1 via SERIAL (RS232/UART),High,Not Started,,COM Port may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of COM Port. Consider using a standard authentication mechanism to identify the external entity.,,Generated
11,External Entity COM Port Potentially Denies Receiving Data,Repudiation,SERIAL,MCU to COM1 via SERIAL (RS232/UART),High,Not Started,,"COM Port claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
12,Data Flow MCU to COM1 via SERIAL (RS232/UART) Is Potentially Interrupted,Denial Of Service,SERIAL,MCU to COM1 via SERIAL (RS232/UART),High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
13,Spoofing the MCU Process,Spoofing,SERIAL,COM1 to MCU via SERIAL (RS232/UART),High,Not Started,,MCU may be spoofed by an attacker and this may lead to information disclosure by COM Port. Consider using a standard authentication mechanism to identify the destination process.,,Generated
