Id;Title;Category;Diagram;Interaction;Priority;State;Changed By;Description;Justification;Last Modified;ATT&CK ID;EMB3D PID;EMB3D TID;CWE ID;CVSS v4.0 Vector;CVSS-B v4.0 Score;CVSS v4.0 Severity;Likelihood of Exploit;Risk Prioritization;Threat Actor;Risk Treatment;Risk Approval
1;Spoofing the COM Port External Entity;Spoofing;SERIAL;COM1 to MCU via SERIAL (RS232/UART);Low;Mitigated;;"COM Port may be spoofed by an attacker and this may lead to unauthorized access to MCU. Consider using a standard authentication mechanism to identify the external entity.";"An attacker physically attached to the RS-232 service port can spoof the COM Port engineering station identity, causing the MCU to accept unauthorized configuration commands or calibration changes. The SERIAL protocol lacks mutual authentication. Attack vector is Physical requiring direct plant-floor access to the positioner service port. Minimum actor is Insider Threat with maintenance tooling and process knowledge. Basic mitigation: restrict physical access to the service interface and enclosure controls. No EMB3D threat is asserted because the documented path is a local physical serial service and the available architecture evidence does not establish a property-backed EMB3D threat for endpoint spoofing. Residual risk is Low. Treatment is Mitigation through physical access controls and procedural authorization for engineering connections.";Generated;T1692.001;N/A;N/A;CWE-306;CVSS:4.0/AV:P/AC:L/AT:N/PR:N/UI:N/VC:N/VI:H/VA:L/SC:N/SI:L/SA:N;5,2;Medium;Low;Low;Insider Threat;Mitigation;Product Security
2;Potential Lack of Input Validation for MCU;Tampering;SERIAL;COM1 to MCU via SERIAL (RS232/UART);Low;Mitigated;;"Data flowing across COM1 to MCU via SERIAL (RS232/UART) may be tampered with by an attacker. This may lead to a denial of service attack against MCU or an elevation of privilege attack against MCU or an information disclosure by MCU. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.";"The SERIAL serial protocol transmits unauthenticated configuration data including valve characteristic, PID tuning, fail-safe position, and communication parameters over RS-232. An attacker with physical access to the service port can inject malformed or malicious commands to alter positioner behavior, potentially causing incorrect valve positioning or process disruption. The MCU firmware validates parameter ranges but does not authenticate the command source. Minimum actor is Insider Threat with local port access and SERIAL protocol knowledge. Basic mitigation: firmware range validation and physical enclosure protection. TID-327 is not asserted because the available evidence establishes malformed-input handling but does not establish the manual-memory-management device property required for that EMB3D mapping. Residual risk is Low after range validation and physical access controls. Treatment is Mitigation.";Generated;T0836;N/A;N/A;CWE-1286;CVSS:4.0/AV:P/AC:L/AT:N/PR:N/UI:N/VC:N/VI:H/VA:L/SC:N/SI:L/SA:N;5,2;Medium;Low;Low;Insider Threat;Mitigation;Product Security
3;Potential Data Repudiation by MCU;Repudiation;SERIAL;COM1 to MCU via SERIAL (RS232/UART);Low;Mitigated;;"MCU claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.";"The SERIAL protocol provides no session logging, audit trails, or cryptographic non-repudiation mechanisms. The MCU cannot prove it received specific configuration commands from COM Port, nor can COM Port prove delivery. However, the functional impact on a valve positioner is limited since process state is physically observable and the MCU stores parameters in non-volatile memory with change indicators. Applied controls include workstation event logs, serial session capture, procedural change controls, and configuration backup verification. Residual risk is Info given physically observable process state and stored configuration evidence. Treatment is Mitigation through the documented controls.";Generated;N/A;N/A;N/A;CWE-778;CVSS:4.0/AV:P/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N;2,4;Low;Info;Info;Insider Threat;Mitigation;Product Security
4;Data Flow Sniffing;Information Disclosure;SERIAL;COM1 to MCU via SERIAL (RS232/UART);Medium;Mitigated;;"Data flowing across COM1 to MCU via SERIAL (RS232/UART) may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.";"The SERIAL protocol transmits unencrypted serial data including valve position setpoints, PID parameters, fail-safe settings, firmware version, and diagnostic error codes over RS-232. An attacker with physical access to the serial cable or port can passively intercept this engineering data. The SERIAL protocol provides no native confidentiality controls. Attack vector is Physical requiring proximity to the service cable or port. Minimum actor is Insider Threat with local physical access. Basic mitigation: protect the cable and adapter, prohibit unattended connections, use a dedicated workstation, and minimize sensitive data retained in project files and logs. No EMB3D threat is asserted because the documented path is a local physical serial service rather than a remote network service and no other property-backed EMB3D confidentiality threat is established. Residual risk is Low since sniffed process parameters alone have limited standalone exploitation value and do not directly compromise process safety. Treatment is Mitigation.";Generated;T0842;N/A;N/A;CWE-319;CVSS:4.0/AV:P/AC:L/AT:N/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N;5,1;Medium;Medium;Medium;Insider Threat;Mitigation;Lead Security
5;Potential Process Crash or Stop for MCU;Denial Of Service;SERIAL;COM1 to MCU via SERIAL (RS232/UART);Medium;Mitigated;;"MCU crashes, halts, stops or runs slowly; in all cases violating an availability metric.";"Flooding the RS-232 SERIAL interface with malformed or excessive serial frames can cause the MCU firmware to crash, halt, or respond slowly, violating availability. The MCU serial parser may lack rate limiting or robust error recovery for extreme input patterns. Attack vector is Physical requiring direct port access. Minimum actor is Insider Threat with serial protocol knowledge. Basic mitigation: firmware watchdog timers, serial input buffering, and hardware-level crash recovery. No EMB3D network-service threat is asserted because the interface is a physical point-to-point serial service and the available evidence does not establish another property-backed EMB3D parser or resource-exhaustion threat. Residual risk is Low after watchdog and crash recovery mechanisms. Treatment is Mitigation.";Generated;T0814;N/A;N/A;CWE-833, CWE-770;CVSS:4.0/AV:P/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:L/SA:N;5,1;Medium;Medium;Medium;Insider Threat;Mitigation;Lead Security
6;Data Flow COM1 to MCU via SERIAL (RS232/UART) Is Potentially Interrupted;Denial Of Service;SERIAL;COM1 to MCU via SERIAL (RS232/UART);Low;Mitigated;;"An external agent interrupts data flowing across a trust boundary in either direction.";"Physical disruption or electrical interference on the RS-232 service cable interrupts the configuration command path between COM Port and the MCU, preventing parameter changes or initialization. The consequence is reduced because SERIAL is documented as a configuration interface while normal valve positioning uses the independent 4–20 mA closed loop. Interruption therefore normally denies maintenance activity rather than the primary process set point. The external RS-232 serial interconnect establishes the EMB3D peripheral-interconnect property, and physical access permits an actor to apply out-of-spec voltage or current through the external port, making the weak peripheral-port electrical-damage threat relevant. The minimum capable actor is an Insider Threat with local access to the cable or adapter. Compensating controls include cable shielding, protected conduit routing, and enclosure access controls. Intermediate mitigation: Electrical Fault Protection (MID-069) is a source-backed device-native candidate requiring verification of port protection circuitry. Residual risk is Low since configuration interruption does not affect ongoing closed-loop control. Treatment is Mitigation.";Generated;T1691.001, T1695.001;PID-14;TID-118;N/A;CVSS:4.0/AV:P/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N;2,4;Low;Low;Low;Insider Threat;Mitigation;Product Security
7;Elevation Using Impersonation;Elevation Of Privilege;SERIAL;COM1 to MCU via SERIAL (RS232/UART);Low;Not Applicable;;"MCU may be able to impersonate the context of COM Port in order to gain additional privilege.";"The SERIAL protocol is strictly request-response only, COM Port initiates all commands and the MCU responds with structured diagnostic data. The MCU cannot impersonate the COM Port engineering context to gain additional privilege because the protocol architecture eliminates this attack vector. The MCU firmware is designed to send structured diagnostic data rather than executable commands to the engineering station, and no mechanism exists for the MCU to initiate privileged sessions or impersonate the engineering station.";Generated;N/A;N/A;N/A;N/A;CVSS:4.0/AV:P/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:N/SC:N/SI:N/SA:N;0,0;None;Info;Info;Insider Threat;Avoidance;Not Required
8;MCU May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;SERIAL;COM1 to MCU via SERIAL (RS232/UART);Low;Not Applicable;;"COM Port may be able to remotely execute code for MCU.";"RCE by definition requires a Network attack vector (AV:N). The SERIAL/RS-232 interface is exclusively Physical (AV:P) point-to-point serial with no network stack or remote reachability. Underlying firmware code-quality concerns (buffer overflow protection, input validation in the SERIAL protocol parser) are already covered by Tampering Threat which correctly addresses the same weakness through the Physical attack vector lens.";Generated;N/A;N/A;N/A;N/A;CVSS:4.0/AV:P/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:N/SC:N/SI:N/SA:N;0,0;None;Info;Info;Insider Threat;Avoidance;Not Required
9;Elevation by Changing the Execution Flow in MCU;Elevation Of Privilege;SERIAL;COM1 to MCU via SERIAL (RS232/UART);Low;Not Applicable;;"An attacker may pass data into MCU in order to change the flow of program execution within MCU to the attacker's choosing.";"Changing MCU execution flow is a potential result of the same path assessed for Remote Code Execution (RCE). Network-delivered execution flow manipulation does not apply to a physical-only RS-232 serial interface with no network stack. The underlying firmware code-quality concerns (control flow integrity, memory safety) are already addressed by Tampering Threat which correctly covers input validation for the SERIAL protocol parser via the Physical attack vector.";Generated;N/A;N/A;N/A;N/A;CVSS:4.0/AV:P/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:N/SC:N/SI:N/SA:N;0,0;None;Info;Info;Insider Threat;Avoidance;Not Required
10;Spoofing of the COM Port External Destination Entity;Spoofing;SERIAL;MCU to COM1 via SERIAL (RS232/UART);Medium;Mitigated;;"COM Port may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of COM Port. Consider using a standard authentication mechanism to identify the external entity.";"The SERIAL data flow uses a point-to-point physical wire with no source or destination authentication, no confidentiality, no integrity, and no forgery protection. The SERIAL protocol does not define frame security, anti-replay behavior, serial transaction logging, or parser assurance. The MCU can send reports or data to any endpoint electrically connected on the point-to-point maintenance path if the endpoint is not authenticated. A rogue or substituted COM Port workstation or serial adapter could receive device data and potentially solicit responses. The minimum capable actor is an Insider Threat with direct port access and compatible tooling. Basic mitigation: physical enclosure protection and cable access controls. No EMB3D threat is asserted because the documented path is a local physical serial service and the available architecture evidence does not establish a property-backed EMB3D threat for endpoint spoofing. Residual risk is Low since redirected data alone has limited exploitation value. Treatment is Mitigation through physical access controls.";Generated;T1692.001;N/A;N/A;CWE-306;CVSS:4.0/AV:P/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N;6,8;Medium;Medium;Medium;Insider Threat;Mitigation;Lead Security
